metric_id,metric_name,home,method_state,default_value_state,prereq_audit,prereq_detail,quality_flags,feasibility,implementation_status,release_target,backend_function,notes
open.distance_to_nearest_park,Distance to Nearest Park,landuse,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_open_distance_to_nearest_park,prereq_audit=ok
open.park_green_space_density,Park & Green Space Density,landuse,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_open_park_green_space_density,prereq_audit=ok
open.riparian_buffer_integrity,Riparian Buffer Integrity,landuse,direct,not_computed,ok,,confidence_low_medium|not_computed|prereq_ok,Low-Medium,planned,final,compute_open_riparian_buffer_integrity,prereq_audit=ok
open.vacant_land_pct,Vacant Land %,landuse,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_open_vacant_land_pct,prereq_audit=ok
road.avg_block_size,Average Block Size,roads,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_road_avg_block_size,prereq_audit=ok
road.block_size_variance,Block Size Variance,roads,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_road_block_size_variance,prereq_audit=ok
road.circuity,Circuity,roads,direct,not_computed,ok,,confidence_low_medium|not_computed|prereq_ok,Low-Medium,planned,final,compute_road_circuity,prereq_audit=ok
road.cnr,Connected Node Ratio (CNR),roads,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_road_cnr,prereq_audit=ok
road.culdesac_ratio,Cul-de-sac Ratio,roads,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_road_culdesac_ratio,prereq_audit=ok
road.edge_density,Edge Density,roads,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_road_edge_density,prereq_audit=ok
road.intersection_density,Intersection Density,roads,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_road_intersection_density,prereq_audit=ok
road.network_density_by_type,Road Network Density by Type,roads,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_road_network_density_by_type,prereq_audit=ok
road.node_density,Node Density,roads,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_road_node_density,prereq_audit=ok
road.orientation_entropy,Street Orientation Entropy,roads,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_road_orientation_entropy,prereq_audit=ok
road.pedestrian_infra_ratio,Pedestrian Infrastructure Ratio,roads,direct,not_computed,usable_with_caveats,footway_tags,confidence_low_medium|not_computed|prereq_caveated,Low-Medium,planned,final,compute_road_pedestrian_infra_ratio,prereq_audit=usable_with_caveats:footway_tags
road.street_connectivity_index,Street Connectivity Index,roads,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_road_street_connectivity_index,prereq_audit=ok
topo.elevation_range,Elevation Range,topography,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_topo_elevation_range,prereq_audit=ok
topo.flat_area_pct,% Area on Flat Land (<3 deg),topography,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_topo_flat_area_pct,prereq_audit=ok
topo.flood_risk_proxy,Flood Risk Proxy,topography,proxy_only,not_computed,ok,,confidence_medium|proxy_method|not_computed|prereq_ok,Medium,proxy_only,final,compute_topo_flood_risk_proxy,Proxy definition; badge required in UI. | prereq_audit=ok
topo.mean_elevation,Mean Elevation,topography,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_topo_mean_elevation,prereq_audit=ok
topo.mean_slope,Mean Slope,topography,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_topo_mean_slope,prereq_audit=ok
topo.natural_constraint_index,Natural Constraint Index,topography,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_topo_natural_constraint_index,prereq_audit=ok
topo.steep_area_pct,% Area on Steep Slope (>15 deg),topography,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_topo_steep_area_pct,prereq_audit=ok
transit.coverage_500m,Transit Coverage (500m buffer),roads,direct,not_computed,usable_with_caveats,metro_stations,confidence_medium|not_computed|prereq_caveated,Medium,planned,final,compute_transit_coverage_500m,prereq_audit=usable_with_caveats:metro_stations
transit.distance_to_metro_or_rail,Distance to Nearest Metro / Rail,roads,direct,not_computed,usable_with_caveats,metro_stations,confidence_medium|not_computed|prereq_caveated,Medium,planned,final,compute_transit_distance_to_metro_or_rail,prereq_audit=usable_with_caveats:metro_stations
transit.stop_density,Transit Stop Density,roads,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_transit_stop_density,prereq_audit=ok
